Date,Close,High,Low,Open,Volume
2025-12-12,1400.0,1430.0,1350.0,1360.0,54294600
2025-12-15,1390.0,1425.0,1380.0,1405.0,55116200
2025-12-16,1390.0,1405.0,1350.0,1395.0,34934000
2025-12-17,1425.0,1460.0,1380.0,1390.0,70497500
2025-12-18,1390.0,1495.0,1380.0,1455.0,85264200
2025-12-19,1360.0,1390.0,1355.0,1390.0,27215200
2025-12-22,1415.0,1430.0,1350.0,1370.0,49434100
2025-12-23,1390.0,1445.0,1390.0,1420.0,40766900
2025-12-24,1385.0,1425.0,1385.0,1400.0,29651200
2025-12-29,1600.0,1645.0,1405.0,1405.0,245495500
2025-12-30,1560.0,1590.0,1530.0,1565.0,73870300
2026-01-02,1645.0,1660.0,1585.0,1585.0,83708700
2026-01-05,1645.0,1685.0,1620.0,1660.0,51541500
2026-01-06,1805.0,1960.0,1595.0,1655.0,246575700
2026-01-07,1855.0,1890.0,1815.0,1845.0,81287400
2026-01-08,1710.0,1890.0,1685.0,1850.0,139761600
2026-01-09,1750.0,1765.0,1680.0,1715.0,67802500
2026-01-12,1940.0,1975.0,1750.0,1800.0,233409700
2026-01-13,2010.0,2100.0,1950.0,1980.0,246331900
2026-01-14,1975.0,2070.0,1960.0,2030.0,83825700
2026-01-15,1980.0,2040.0,1960.0,2030.0,48021300
2026-01-19,1935.0,1990.0,1890.0,1980.0,50684300
2026-01-20,2060.0,2070.0,1905.0,1930.0,90478900
2026-01-21,2000.0,2060.0,1955.0,2050.0,94603900
2026-01-22,2170.0,2190.0,2010.0,2050.0,129775400
2026-01-23,2280.0,2300.0,2080.0,2180.0,147369200
2026-01-26,2280.0,2320.0,2240.0,2300.0,69107600
2026-01-27,2220.0,2290.0,2180.0,2280.0,77736500
2026-01-28,2080.0,2270.0,1895.0,2090.0,155198800
2026-01-29,2100.0,2120.0,1770.0,2060.0,207378200
2026-01-30,1985.0,2150.0,1975.0,2100.0,95310700
2026-02-02,1850.0,1970.0,1735.0,1890.0,158423000
2026-02-03,1895.0,1935.0,1760.0,1880.0,73839100
2026-02-04,1920.0,2010.0,1870.0,1910.0,61250000
2026-02-05,1800.0,1925.0,1795.0,1920.0,88357500
2026-02-06,1740.0,1830.0,1690.0,1705.0,75251200
2026-02-09,1795.0,1800.0,1730.0,1775.0,33961400
2026-02-10,1890.0,1945.0,1780.0,1800.0,94151000
2026-02-11,1935.0,1945.0,1860.0,1900.0,48376200
2026-02-12,1925.0,1990.0,1920.0,1940.0,37169700
2026-02-13,1865.0,1955.0,1850.0,1915.0,47466300
2026-02-18,1965.0,1970.0,1870.0,1870.0,45677700
2026-02-19,2030.0,2080.0,1940.0,1970.0,131628600
2026-02-20,2070.0,2070.0,1985.0,2030.0,85280700
2026-02-23,2090.0,2100.0,2030.0,2080.0,51440400
2026-02-24,2020.0,2090.0,2010.0,2080.0,56621500
2026-02-25,2150.0,2160.0,2020.0,2020.0,103688300
2026-02-26,2080.0,2160.0,1985.0,2160.0,118703400
2026-02-27,2100.0,2110.0,1995.0,2030.0,48542600
2026-03-02,2120.0,2140.0,2020.0,2050.0,81056200
2026-03-03,2130.0,2220.0,2090.0,2140.0,126545900
2026-03-04,2010.0,2120.0,1925.0,2110.0,125243700
2026-03-05,2020.0,2070.0,1990.0,2060.0,34233600
2026-03-06,1980.0,2030.0,1955.0,2000.0,26064100
2026-03-09,1945.0,1950.0,1760.0,1865.0,68683900
2026-03-10,1960.0,1985.0,1905.0,1960.0,46967300
2026-03-11,1860.0,2010.0,1855.0,1975.0,43084500
2026-03-12,1880.0,1940.0,1840.0,1860.0,53847900
